iter	MultiClass
0	1.356759169
1	1.328335653
2	1.300972891
3	1.274633
4	1.249287843
5	1.224737382
6	1.201119635
7	1.178292458
8	1.156199752
9	1.134841759
10	1.114117929
11	1.094023819
12	1.074555715
13	1.055636491
14	1.037284357
15	1.019485985
16	1.002147836
17	0.9851940672
18	0.9686907304
19	0.952830993
20	0.9372476801
21	0.9220292813
22	0.9072203519
23	0.8927276796
24	0.8785640075
25	0.8648092152
26	0.851383371
27	0.8382406744
28	0.8253814659
29	0.8128309556
30	0.8005503705
31	0.7885147247
32	0.7767458073
33	0.7652916308
34	0.754012756
35	0.7429392829
36	0.7321041247
37	0.7215826836
38	0.711192125
39	0.7010697192
40	0.6910481122
41	0.6813265411
42	0.6718343293
43	0.6625045208
44	0.6533847195
45	0.644376218
46	0.6355473461
47	0.6269089649
48	0.6184385034
49	0.6101418615
50	0.6019785849
51	0.5938785059
52	0.5860084469
53	0.5781898491
54	0.570571245
55	0.5630860789
56	0.5557183926
57	0.5484920534
58	0.54138726
59	0.5343861873
60	0.5274615607
61	0.5207319039
62	0.5140973074
63	0.5075807927
64	0.5011485894
65	0.4948558667
66	0.4886087416
67	0.48249019
68	0.4763967721
69	0.4704386331
70	0.4646028127
71	0.458869879
72	0.4532049918
73	0.4476584816
74	0.4421480587
75	0.436754368
76	0.4314569136
77	0.4262388106
78	0.421093597
79	0.4160517522
80	0.411066344
81	0.4061063264
82	0.4012602829
83	0.3965118224
84	0.3917703372
85	0.3871075804
86	0.3825026801
87	0.3779633855
88	0.373531719
89	0.3691862297
90	0.3647990856
91	0.3605257176
92	0.3562645168
93	0.3521127753
94	0.3480701991
95	0.344055821
96	0.340073282
97	0.3361052678
98	0.3322838104
99	0.3285160479
100	0.3247359749
101	0.3209998369
102	0.3173648748
103	0.3137318994
104	0.3101972034
105	0.3066730036
106	0.3031607621
107	0.2997571596
108	0.2963652358
109	0.2930777176
110	0.2897702182
111	0.2865109928
112	0.2833241907
113	0.2801683944
114	0.2770038354
115	0.2738995704
116	0.2708498281
117	0.2678491265
118	0.2648683528
119	0.2619684202
120	0.2590385283
121	0.2561800089
122	0.2533904786
123	0.2505853196
124	0.2477982626
125	0.2450799988
126	0.2424021802
127	0.2397555851
128	0.2371075173
129	0.234472008
130	0.2319189352
131	0.2294049802
132	0.2269015212
133	0.2244509179
134	0.2220201817
135	0.2196084153
136	0.2172138282
137	0.214894391
138	0.2125700898
139	0.2102887993
140	0.2080044691
141	0.2057327284
142	0.2035377228
143	0.2013280038
144	0.1991544859
145	0.1969970175
146	0.1949060417
147	0.1927944567
148	0.1907310503
149	0.1886851842
150	0.1866538806
151	0.1846407985
152	0.1826686642
153	0.1807130001
154	0.1787685759
155	0.1768518536
156	0.1749732956
157	0.1731001963
158	0.1712461633
159	0.1694413516
160	0.1676449798
161	0.1658563094
162	0.1641048109
163	0.1623740905
164	0.1606795072
165	0.1589890778
166	0.1573401769
167	0.1556946398
168	0.1540811058
169	0.1524650713
170	0.1508751221
171	0.1492837499
172	0.1477185038
173	0.1461971709
174	0.144680011
175	0.1431975097
176	0.1417011706
177	0.1402134778
178	0.138755359
179	0.13733649
180	0.1359167023
181	0.1344949696
182	0.1330913552
183	0.1317057898
184	0.1303310719
185	0.1289794385
186	0.1276371221
187	0.1263110248
188	0.1249961395
189	0.1236949142
190	0.1224136314
191	0.1211588564
192	0.1199181387
193	0.1186933774
194	0.1174663184
195	0.1162834065
196	0.1151110747
197	0.1139229704
198	0.1127526173
199	0.1116183199
