iter	Passed	Remaining
0	11	2340
1	20	2005
2	29	1956
3	39	1927
4	47	1834
5	55	1789
6	63	1753
7	70	1689
8	76	1624
9	82	1576
10	89	1538
11	96	1504
12	102	1470
13	108	1437
14	114	1408
15	120	1384
16	126	1362
17	132	1339
18	138	1317
19	144	1301
20	150	1283
21	156	1266
22	162	1247
23	168	1234
24	174	1220
25	180	1208
26	186	1197
27	193	1187
28	199	1174
29	205	1162
30	211	1150
31	217	1139
32	223	1132
33	229	1121
34	235	1111
35	241	1102
36	247	1090
37	253	1082
38	260	1075
39	266	1066
40	272	1054
41	278	1048
42	284	1040
43	291	1033
44	297	1023
45	303	1016
46	309	1008
47	315	999
48	321	992
49	328	984
50	334	977
51	340	968
52	346	961
53	352	952
54	358	944
55	364	936
56	370	928
57	375	920
58	382	914
59	389	908
60	395	900
61	401	894
62	407	886
63	414	879
64	420	873
65	427	868
66	434	863
67	440	855
68	447	849
69	453	842
70	459	834
71	465	827
72	471	819
73	477	813
74	483	806
75	489	798
76	495	791
77	501	784
78	507	777
79	513	770
80	520	764
81	525	756
82	531	749
83	537	742
84	544	736
85	550	729
86	556	722
87	562	716
88	569	710
89	576	704
90	582	697
91	588	690
92	594	683
93	600	676
94	606	670
95	613	664
96	619	657
97	625	650
98	631	644
99	638	638
100	644	631
101	650	625
102	656	618
103	662	611
104	668	605
105	675	598
106	681	592
107	688	586
108	695	580
109	701	573
110	707	567
111	713	560
112	719	554
113	726	547
114	731	540
115	738	534
116	743	527
117	750	521
118	756	514
119	762	508
120	767	500
121	772	493
122	778	487
123	784	480
124	790	474
125	795	467
126	800	460
127	807	454
128	813	447
129	818	440
130	824	434
131	830	427
132	835	421
133	841	414
134	846	407
135	852	401
136	858	394
137	864	388
138	871	382
139	877	376
140	883	369
141	890	363
142	895	356
143	901	350
144	907	344
145	913	337
146	920	331
147	926	325
148	931	318
149	936	312
150	942	305
151	947	299
152	953	292
153	959	286
154	964	280
155	970	273
156	976	267
157	982	261
158	988	254
159	993	248
160	999	242
161	1005	235
162	1010	229
163	1016	223
164	1022	216
165	1028	210
166	1033	204
167	1039	197
168	1045	191
169	1050	185
170	1056	179
171	1062	172
172	1067	166
173	1073	160
174	1079	154
175	1085	147
176	1092	141
177	1098	135
178	1104	129
179	1110	123
180	1116	117
181	1122	111
182	1128	104
183	1134	98
184	1140	92
185	1145	86
186	1151	80
187	1157	73
188	1163	67
189	1168	61
190	1174	55
191	1179	49
192	1185	42
193	1191	36
194	1197	30
195	1203	24
196	1210	18
197	1216	12
198	1223	6
199	1229	0
